resource_name,english,chinese
"piko_category_ads","Ads","广告"
"piko_disable_ads","Disable ads","关闭广告"
"piko_hide_suggested_content","Hide suggested content","隐藏推荐内容"
"piko_hide_suggested_content_desc","Hides suggested stories, reels, threads (Suggested posts will still be shown).","隐藏推荐的快拍，reels，threads（仍将显示推荐的帖子）。"
"piko_category_dev_options","Developer options","开发者选项"
"piko_enable_dev_options","Enable developer options","启用开发者选项"
"piko_enable_dev_options_desc","Unlocks developer option by long pressing home icon","长按主页图标解锁开发者选项"
"piko_directly_open_metaconfig","Directly opens MetaConfig overrides","直接打开 MetaConfig 覆盖"
"piko_directly_open_metaconfig_desc","Directly opens MetaConfig overrides on long pressing home icon (needs developer options enabled)","在长按主页图标时直接打开 MetaConfig 覆盖 (需要启用开发者选项)"
"piko_enable_emp_options","Enable employee options","启用员工选项"
"piko_enable_emp_options_desc","Unlocks all employee options used for testing","解锁所有用于测试的员工选项"
"piko_allow_user_network_certificate","Allow user network certificate","允许用户网络证书"
"piko_allow_user_network_certificate_desc","Allows user network certificate for whitehat testing","允许使用用户网络证书进行白帽测试"
"piko_remove_build_expire_popup","Remove build expire popup","移除版本过期弹出窗口"
"piko_remove_build_expire_popup_desc","Removes the popup that appears after a while, when the app version ages","移除因应用程序版本过旧而弹出的弹窗"
"piko_export_dev_overrides","Export overrides","导出覆盖"
"piko_import_dev_overrides","Import overrides","导入覆盖"
"piko_import_id_mapping","Import mapping files","导入映射文件"
"piko_download_id_mapping","Download mapping file","下载映射文件"
"piko_missing_mapping_file","Missing mapping file","缺少映射文件"
"piko_missing_mapping_file_desc","Without mapping file, developer options will not have proper names. Do you want to download it ?","没有映射文件，开发者选项将没有正确的名称。您想要下载它吗？"
"piko_category_links","Links","链接"
"piko_open_links_externally","Open links externally","在外部浏览器打开链接"
"piko_open_links_externally_desc","Open links in external browser instead of in-app browser","在外部浏览器中打开链接而非应用内浏览器"
"piko_sanitize_share_links","Sanitize share links","净化分享链接"
"piko_category_ghost","Ghost","幽灵模式"
"piko_view_stories_anonymously","View stories anonymously","匿名观看快拍"
"piko_view_live_anonymously","View live anonymously","匿名观看直播"
"piko_disable_typing_status","Disable typing status","禁用输入状态显示"
"piko_disable_screenshot_detection","Disable screenshot detection","禁用截屏检测"
"piko_view_dm_anonymously","View direct messages anonymously","匿名查看私信"
"piko_turn_on_all_ghost_modes","Turn on all ghost modes","开启所有幽灵模式"
"piko_ghost_modes_on","Ghost mode: ON","幽灵模式：开启"
"piko_ghost_modes_default","Ghost mode: DEFAULT","幽灵模式：默认模式"
"piko_ghost_modes_quick_toggle","Enable quick toggle for ghost modes","启用幽灵模式快捷开关"
"piko_ghost_modes_quick_toggle_desc","Adds a quick toggle in chat action bar to control ghost modes","在聊天操作栏中添加快速切换以控制幽灵模式"
"piko_category_distraction_free","Distraction free","界面自定义"
"piko_disable_stories","Disable stories","禁用快拍"
"piko_disable_highlights","Disable highlights","禁用高亮"
"piko_disable_explore","Disable explore","禁用探索"
"piko_disable_comments","Disable comments","关闭评论"
"piko_limit_following_feed","Limit feed to following profiles","限制主页只看关注"
"piko_limit_following_feed_desc","Filters the home feed to display only content from profiles you follow.","过滤主页，只显示您关注的人的内容。"
"piko_disable_reels_scrolling","Disable Reels scrolling","禁用Reels 自动滑动"
"piko_disable_reels_scrolling_desc","""Disables the endless scrolling behavior in Instagram Reels, preventing swiping to the next Reel.

Note: On a clean install, the \'Tip\' animation may appear but will stop on its own after a few seconds.""","""在 Instagram Reels 中禁用自动滑动，防止滑动到下一个 Reel 。

注意：在第一次安装后，提示动画可能会出现，但在几秒钟后将自动停止。"""
"piko_disable_swipe_to_create","Disable swipe to create","禁用滑动创建"
"piko_disable_swipe_to_create_desc","Prevents opening the creation screen by swiping right on the home tab.","防止在首页标签页向右滑动时打开创建页面。"
"piko_hide_stories_tray","Hide stories tray","隐藏快拍托盘"
"piko_hide_stories_tray_desc","Hide stories tray from main feed","从主页源隐藏快拍托盘"
"piko_hide_notes_tray","Hide notes tray","隐藏便笺托盘"
"piko_hide_notes_tray_desc","Hides notes tray in DM section","在私信中隐藏便笺"
"piko_hide_group_creation_button_on_sharesheet","Hide group creation button on sharesheet","在分享表单中隐藏\""发送到新群聊\""按钮"
"piko_disable_double_tap_like_post","Disable double tap like on post","禁用双击点赞帖子"
"piko_disable_double_tap_like_reel","Disable double tap like on reel","禁用双击点赞 reel"
"piko_disable_double_tap_like_comment","Disable double tap like on comment","禁用双击点赞评论"
"piko_disable_double_tap_like_message","Disable double tap like on message","禁用双击点赞消息"
"piko_disable_double_tap_to_like","Disable double tap to like","禁用双击点赞"
"piko_category_misc","Misc","杂项"
"piko_material_you_title","Material You","Material You"
"piko_amoled_title","AMOLED","AMOLED"
"piko_disable_analytics","Disable analytics","禁用数据分析"
"piko_delete_analytics_cache","Delete analytic cache","删除分析缓存"
"piko_disable_analytics_desc","Block analytics that are sent to Instagram/Facebook servers","阻止发送到 Instagram / Facebook 服务器的分析数据"
"piko_disable_discover_people","Disable discover people","禁用\""发现用户\""功能"
"piko_disable_discover_people_desc","Disables discover people section on user profile","禁用用户个人资料中的“发现用户”栏目"
"piko_follow_back_indicator","Enable friendship status indicator","启用友谊状态指示器"
"piko_follow_back_indicator_desc","Adds a follows you back status label on the profile page and shows a detailed friendship status breakdown on click","在个人资料页面上添加一个关注您的状态标签，并在点击时显示详细的友谊状态明细"
"piko_fbi_color_indicator","Enable colored friendship status indicator","启用彩色关注关系状态"
"piko_fbi_color_indicator_desc","Friendship status indicator needs to be enabled","需要先启用关注关系状态指示器"
"piko_fbi_follows_you","Follows you","关注了你"
"piko_fbi_doesnt_follows_you","Does not follow you","没有关注你"
"piko_fbi_following_each_other","Following each other","互相关注"
"piko_friendship_status","Friendship status","好友关系状态"
"piko_view_story_mentions","View story mentions","查看快拍提及"
"piko_vsm_title","Story mentions","快拍提及"
"piko_vsm_no_mentions","No mentions on this story","该快拍中没有提及任何人"
"piko_disable_story_flipping","Disable story flipping","禁用 Story 自动下一个"
"piko_disable_story_flipping_desc","Disable automatic flipping/moving to next story","禁用自动跳转/移动到下个 story"
"piko_disable_video_autoplay","Disable video autoplay","禁用视频自动播放"
"piko_stories_audio_autoplay","Stories audio autoplay","Story 音频自动播放"
"piko_customise_story_timestamp","Customise story timestamp","自定义 story 时间戳"
"piko_customise_story_timestamp_desc","Customise the timestamp that shows when the story was posted","自定义快拍发布时间的时间戳格式"
"piko_improve_image_viewing","Improve image viewing","提高图像分辨率"
"piko_improve_image_viewing_desc","Fetches max resolution images from server","从服务器中获取最高分辨率图片"
"piko_hide_reshare_button","Hide reshare button","隐藏转发按钮"
"piko_copy_comment","Copy comment","复制评论"
"piko_copy_comment_desc","Adds a button to copy comments on posts and reels","在帖子和 Reels 上添加了一个用于复制评论的按钮"
"piko_comment_copied_success","Comment copied","已复制评论"
"piko_comment_copied_failed","No text found to copy","找不到要复制的文本"
"piko_save_media_comment","Save media comment","保存媒体评论"
"piko_save_media_comment_desc","Adds a button to save media comments on posts and reels","在帖子和 Reels 上添加了一个用于保存媒体评论的按钮"
"piko_copy_username","Copy username","复制用户名"
"piko_copy_full_name","Copy full name","复制全名"
"piko_copy_user_id","Copy user id","复制用户 ID"
"piko_copy_bio","Copy bio","复制简介"
"piko_view_profile_picture","View profile picture","查看头像"
"piko_copy_profile_link","Copy profile link","复制个人资料链接"
"piko_share_this_profile","Share this profile","分享此个人资料"
"piko_copy_links_from_bio","Copy links from bio","复制简介中的链接"
"piko_no_links_in_bio","No links in this bio","简介中没有链接"
"piko_download_profile_picture","Download profile picture","下载个人资料图片"
"piko_copied","Copied","已复制"
"piko_more_profile_options","More profile options","更多个人资料选项"
"piko_remove_empty_bottom_space","Remove empty bottom space","删除底部空白区域"
"piko_unlock_plus_benefits","Unlock Plus benefits","解锁 Plus"
"piko_unlock_plus_benefits_desc","Unlock \'Plus\' subscription benefits that are checked locally. USE IT AT YOUR OWN RISK","本地解锁Plus。使用风险自负"
"piko_customise_story_ring_size","Customise story ring size","自定义快拍环大小"
"piko_customise_story_ring_size_desc","Change the size of story ring by a percentage (Default: 100)","按百分比调整快拍环的大小（默认：100）"
"piko_category_dm","DM","私信"
"piko_unlimited_replays","Make ephemeral media permanent","使阅后即焚媒体永久可查看"
"piko_unlimited_replays_desc","Changes unexpired view once, view twice media to permanent view","将未过期的“查看一次/查看两次”媒体改为可永久查看"
"piko_enable_mark_chat_as_read","Enable mark chat as read option","启用“标记聊天为已读”选项"
"piko_enable_mark_chat_as_read_desc","Get an option, on long pressing the chat, to mark it as read","长按聊天时增加“标记为已读”选项"
"piko_category_download_media","Download media","下载内容"
"piko_enable_download","Enable download","启用下载"
"piko_enable_direct_download","Enable direct download","启用直接下载"
"piko_enable_direct_download_desc","Downloads the current viewing media without asking for options","不询问直接下载当前浏览媒体"
"piko_download_username_folder","Split media by username","按用户名分组下载内容"
"piko_download_username_folder_desc","Creates subfolders based on username","基于用户名创建子文件夹"
"piko_download_current_media","Download current media","下载当前媒体"
"piko_download_as_image","Download as image","保存为图片"
